Generated Explanation,V1,BLEU,ROUGE,BLEURT,METEOR,BERTScore,BARTScore,Claude_Informativeness,Claude_Clarity,Claude_Effectiveness,Mean_Informativeness,Median_Informativeness,Mode_Informativeness,Mean_Clarity,Median_Clarity,Mode_Clarity,Mean_Effectiveness,Median_Effectiveness,Mode_Effectiveness
"Storms cause very heavy rainfall and intense winds, which can trigger landslides.","A storm has been set to causing a landfall in Nicaragua. This means Nicatagua will experience very heavy rainfall, landslides and intense winds. This will occur for several days ",0.054392081,0.3902439024390244,0.6223126649856567,0.3173061135132176,0.3780980110168457,0.6020160436630249,6,7,6,6,6,5,6.25,6,6,6.25,6,6
"Prolonged heavy rainfall saturates the ground, causing water to overflow and lead to flooding.",Long periods of heavy rainfall can cause flooding,0.054129892,0.3636363636363636,0.7066774964332581,0.3586647727272727,0.4258328080177307,0.7470472812652588,6,6,6,6.666666667,7,7,7,7,7,6.666666667,7,7
"Heavy rainfall for several days saturates the soil, causing floods and mudslides.",several days of heavy rainfall in areas of southeastern Mexico and Central America is the leading cause of floods and mudslides. ,0.1282966712170717,0.4242424242424242,0.6637317538261414,0.4422169811320754,0.5107378959655762,0.7205875396728516,6,7,6,6.5,6.5,6,6.25,6.5,7,6.25,6.5,7
"Caffeine stimulates the nervous system, which can delay sleep onset and cause insomnia.","Avoid having caffeine before you sleep as it can cause insomnia, rather drink tea to clear your mind. Have a healthy snack before bed and keep to a consistent sleep schedule so you do not confuse your mind.",0.012702492,0.1568627450980392,0.5452619791030884,0.138549805,0.2675318419933319,0.6531824827194214,6,7,6,6.5,6.5,,5.5,5.5,,6,6,
"An irregular sleep schedule disrupts natural circadian rhythms, leading to cognitive impairments and mood disturbances.","If you have an irregular sleep schedule it can cause the following side effects: irritability, drowsiness, mood swings, concentration and memory problems, headaches and a decline in cognitive skills.",0.03773412,0.2272727272727272,0.7198566198348999,0.2309236947791164,0.4176161289215088,0.7646615505218506,6,6,6,6.625,7,7,6.125,6,7,6,6,5
"High levels of blood glucose can damage organs and systems, leading to symptoms from exhaustion to heart disease.","It is not news that bad diet and minimum to non exercise can cause lot of health problems like diabetes , but it also cause high levels of blood glucose which cause  a big range of symptoms, from exhaustion to heart disease .You need to start act now for a better health and life!",0.062377372,0.3098591549295775,0.5348359942436218,0.2298134011874469,0.3274990916252136,0.5934235572814941,6,6,5,5.142857143,5,6,5.142857143,6,6,5.285714286,5,6
"Burning fossil fuels releases greenhouse gases, which increase global temperatures.",If we continue to burn fossil fuels at the current rate there will be a huge  increase in global temperatures.,0.078367439,0.4,0.7175095677375793,0.3345517311402172,0.3589252233505249,0.7979030847549439,6,7,6,5.75,6,6,5.5,6,6,5.25,6,6
"Increased volcanic activity releases gases, amplifying the greenhouse effect, which, intensified by solar radiation, exacerbates climate change and powerful storms.","The sun has the ability to cause climate change, powerful storms, massive amounts of volcanic activity",0.057742157,0.2777777777777778,0.5604180097579956,0.409982175,0.3785264194011688,0.6464781284332275,6,5,6,5.666666667,6,6,6,6,,4.333333333,5,
"Stress triggers cortisol release, disrupting sleep patterns and causing sleep problems.",Regular exercise is a great way of reducing stress and sleeping problems. The cause of mental and physical problems for many young adults is due to a lack of sleep. ,0.017036293,0.1951219512195122,0.4468230605125427,0.1162790697674418,0.2633377015590668,0.6714987993240357,6,6,6,5.5,5.5,,5,5,,5.5,5.5,
"Exercise close to bedtime can stimulate the body, causing insomnia.",Exercise is very beneficial for your health and latest studies have revealed that it relieves from stress and clear your mind which is one of the cause of insomnia ,0.01080888,0.2051282051282051,0.492874265,0.073260073,0.1741530001163482,0.6266169071197509,7,7,7,6.428571429,7,7,6,6,6,6.142857143,6,6
"Regular exercise causes increased energy and a good mood, boosting extreme self-confidence.","This exercise may cause an increased energy, a good mood and extreme self confidence.",0.1370311858664025,0.7407407407407408,0.7932537794113159,0.5622973114342503,0.8124173283576965,0.7703430414199829,6,6,5,5.5,5.5,,5.5,5.5,,5,5,5
"Climate change causes global temperature rise, which alters ecosystems, weather patterns, and increases sea levels.","Global temperature rise, impacting ecosystems, weather patterns and sea levels are all factors that lead to climate change.",0.1975829551377349,0.5454545454545454,0.7887378334999084,0.5836685635792779,0.5080856680870056,0.776187801,6,6,5,6,6,7,5.6,6,6,5.2,6,3
"Milankovitch cycles alter Earth's solar radiation, causing natural temperature fluctuations.",The cause of fluctuations in temperature have been attributed to Milankovitch cycles and natural climate change.,0.058763164,0.2222222222222222,0.63993001,0.2889107450208999,0.4214059114456177,0.7424061059951782,6,7,6,5.2,5,6,4.333333333,5,5,4.222222222,5,5
"Greenhouse gas emissions trap heat in the atmosphere, causing global warming and subsequent climate change.","We need to reduce the greenhouse gas emissions at the latest in 2025 cause they will reach their peak in 2025 ,otherwise the global warming and related climate change will get out of control and destroy the environment that we live in. It is very serious matter and we need to act now before its to late for our kids .",0.009359634,0.2666666666666666,0.4508566856384277,0.1856711518197292,0.1994475126266479,0.6124539613723755,6,7,6,6,6,,5,5,,4,4,
Poor lifestyle choices and medications can disrupt hormone health by causing lack of sleep.,"Lack of sleep, poor lifestyle choices like bad eating or alcohol and medications can cause your hormone health to deteriorate. ",0.1042265279782483,0.4705882352941176,0.7044877409934998,0.5803261382893019,0.4978266358375549,0.7140516042709351,4,5,4,5.888888889,5,5,5.777777778,6,7,5.666666667,6,7
"Lack of sleep impairs brain function, causing memory, focus, and mental health issues.","Lack of sleep is problematic. It can cause problems with memory, focus and general mental health.",0.1529156668337311,0.6206896551724138,0.8186303377151489,0.4725690170564446,0.7119314074516296,0.8205310702323914,6,7,6,6.875,7,7,7,7,7,6.75,7,7
"Lack of sleep can disrupt brain function, increasing the risk of seizures and other health issues.",The lack of sleep for a long period could cause seizures and other health issues therefore you should sleep instead of harming yourself by staying up for all hours.,0.1264235902142934,0.3555555555555555,0.68626231,0.3509527089072543,0.4726504385471344,0.6704085111618042,6,6,6,6,6,6,5.25,5.5,6,5.333333333,5,5
"Lack of exercise, poor sleep, and sunshine avoidance contribute to obesity, leading to various health issues.",Obesity in most cases is caused by incorrect lifestyles.,0.019146031,0.08,0.5121659636497498,0.090909091,0.2006387263536453,0.6311218023300171,6,7,6,6,6,6,5.75,6,6,6,6,6
Stressors and inadequate sleep can exacerbate mental health issues by impairing emotional regulation and cognitive function.,Stressors and lack of sleep can cause metal health issues ,0.079222507,0.4615384615384615,0.7132171392440796,0.4776739356178608,0.5178858637809753,0.7272349834442139,6,7,6,6,6,,5.333333333,6,,6.5,6.5,
Using electronic devices excessively causes eye strain and can negatively affect mental health.,Electronic devices can cause eye strain and can affect metal health. ,0.2271870978054232,0.7500000000000001,0.7327147722244263,0.7934426229508196,0.63980341,0.7323051452636719,5,6,5,6.2,6,6,6.4,7,7,6,6,6
Looking at a computer screen for long periods causes digital eye strain.,"Looking at a computer screen and the blue light from the screen can cause digital eye strain and may cause problems with sleeping. To avoid it, take rest from any devices for some time and before bedtime.",0.051248925,0.3673469387755103,0.5760645866394043,0.2709768905235637,0.4921039938926697,0.6915580272674561,5,6,5,4.5,4.5,,6,6,,5,5,
"Blue light exposure causes eye strain and headaches, disrupting sleep patterns.","Blue light-blocking glasses are designed to reduce the effects of blue light, emitted by electronic devices such as computers, smartphones, and televisions. By reducing blue light, they are thought to help with eye strain and headaches. They can also help sleep patterns, as blue light inhibits the production of melatonin, which the body uses to signal sleep.",0.004431574,0.2318840579710144,0.5204612016677856,0.1469522240527182,0.3299613296985626,0.79383862,5,6,5,6.4,7,7,6.2,6,7,6,6,6
Increased use of electronic entertainment promotes a sedentary lifestyle by reducing physical activity.,Rise in electronic entertainment can lead to more sedentary lifestyle. ,0.084930987,0.3478260869565217,0.7285402417182922,0.3946902654867256,0.5956624150276184,0.7497327327728271,6,7,6,5.857142857,6,6,6.714285714,7,7,5,6,6
