ID,Original Tweet,corrected,T1,T2,T3,nr,V1,V2,V3,V4,V5,V6,V7,V8,V9
https://twitter.com/KRGV_Weather/status/1323643156097847297,"Category 4 Hurricane Eta is close to making landfall in Nicaragua. The slow moving storm will cause very heavy rainfall, landslides, and intense winds . The storm will move very slowly this week and continue to cause flooding for several days in Nicaragua and Honduras #RGV #KRGV","Category 4 Hurricane Eta is close to making landfall in Nicaragua. The slow-moving storm will cause very heavy rainfall, landslides, and intense winds. The storm will move very slowly this week and continue to cause flooding for several days in Nicaragua and Honduras.",storm,cause,"very heavy rainfall, landslides, and intense winds",1_T2,"A storm has been set to causing a landfall in Nicaragua. This means Nicatagua will experience very heavy rainfall, landslides and intense winds. This will occur for several days ","A slow moving storm will cause very heavy rainfall, landslides and intense winds","Eta storm in Nicaragua and Honduras moving very slowly and will cause heavy rainfall, landslides, and intense winds",,,,,,
https://twitter.com/weatherforce11/status/1312020921021075461,Prolonged periods of heavy rainfall training over the exact same area could cause for a significant flooding event in isolated locations across the southeast Florida coast today and over the next several days as a storefront is located over that region. #flwx,"Prolonged periods of heavy rainfall training over the exact same area could cause a significant flooding event in isolated locations across the southeast Florida coast today and over the next several days, as a stationary front is situated over that region.",prolonged periods of heavy rainfall,cause,flooding,2_T2,Long periods of heavy rainfall can cause flooding,A stationary front is situated over Florida Coast and prolonged periods of heavy rainfall could cause flooding,Incessant rainfall in isolated locations can cause significant floods,"Storm cause very heavy rain fall, landslides and intense winds. They can cause a significant flooding event","Consistent storm hitting southeast Florida would cause a devastating effect due to very heavy rainfall, landslides, and intense winds.","Ongoing storms over the same area can cause severe floods in isolated location across southeast Florida. That is very heavy rainfall, landslides and intense winds might lead to floods over the next several days.",,,
https://twitter.com/NHC_Atlantic/status/1312408975279706113,"10 AM CDT Saturday, October 3 Key Messages for Tropical Storm #Gamma. Several days of heavy rainfall across portions of southeastern Mexico and Central America could cause life-threatening flash floods and mudslides. http://nhc.noaa.gov/#Gamma",Several days of heavy rainfall across portions of southeastern Mexico and Central America could cause life-threatening flash floods and mudslides.,several days of heavy rainfall,cause,floods and mudslides,3_T2,several days of heavy rainfall in areas of southeastern Mexico and Central America is the leading cause of floods and mudslides. ,Several days of heavy rainfall can cause floods and mudslides across south eastern Mexico and central america,"Flash floods and mudslides could threaten the lives of people across mexico and central america, caused by several days of heavy rainfall",,,,,,
https://twitter.com/SunshineSelfCa6/status/1083335807610499072,"5) Drink tea before you sleep to clear your mind.

6) Have a healthy snack before bed.

7) Avoid having caffeine before sleep as it can cause insomnia.

8) Have a consistent sleep schedule as not to confuse your mind.",Drink tea before you sleep to clear your mind. Have a healthy snack before bed. Avoid having caffeine before sleep as it can cause insomnia. Have a consistent sleep schedule so as not to confuse your mind.,caffeine,cause,insomnia,4_T2,"Avoid having caffeine before you sleep as it can cause insomnia, rather drink tea to clear your mind. Have a healthy snack before bed and keep to a consistent sleep schedule so you do not confuse your mind.",Insomnia can result from caffeine use too close to bedtime.,Avoid caffeine as it can cause insomnia. Try a healthy alternative instead.,,,,,,
https://twitter.com/HCAHospitalsUK/status/1343486869942763521,"Try to keep to a consistent bedtime schedule, even during weekends! An irregular sleep schedule can cause irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills.#HCA12DaysOfChristmas","An irregular sleep schedule can cause irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills.",irregular sleep schedule,cause,"irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills",5_T2,"If you have an irregular sleep schedule it can cause the following side effects: irritability, drowsiness, mood swings, concentration and memory problems, headaches and a decline in cognitive skills.","If one is prone to irregular sleep patterns, they will experience irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills. ","Having an irregular sleep schedule can cause irritability, drowsiness, mood swings, concentration and memory problems, headaches as well as a decline in cognitive skills.","Irregular sleep schedule might cause irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills"," Maintaining a regular sleep schedule results in many positive results, such as reduced irritability, mood swings, problems with concentration and memory, headaches and cognitive decline.","Getting a irregular sleep schedule cause irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills","Having an irregular sleep schedule may cause issues such as irritability, drowsiness, mood swings, concentration and memory problems, headaches and a decline in cognitive skills. ","Irregular sleep schedule can cause irritability, drowsiness, mood swings, concentration and memory problems, headaches, and a decline in cognitive skills",
https://twitter.com/Pharma_Mankind/status/1397079066423881728,"High levels of blood glucose can cause a range of symptoms, from exhaustion to heart disease. The only way to tackle diabetes is to incorporate a healthy diet plan along with regular exercise.","High levels of blood glucose can cause a range of symptoms, from exhaustion to heart disease. The only way to tackle diabetes is to incorporate a healthy diet plan along with regular exercise.",high levels of blood glucose,cause,"range of symptoms, from exhaustion to heart disease",6_T2,"It is not news that bad diet and minimum to non exercise can cause lot of health problems like diabetes , but it also cause high levels of blood glucose which cause  a big range of symptoms, from exhaustion to heart disease .You need to start act now for a better health and life!","An extremely important factor is taking care of the appropriate level of glucose in the blood, an increased amount causes many cardiac diseases and fatigue. It is important to maintain a healthy diet and regular exercise","High levels of blood glucose can cause a range of symptoms, from exhaustion to heat disease.","High levels of bloof glucose can cause a range of symptoms, from exhaustion to heart disease. Therefore it is important to adopt a healthy style.",,,,,
https://twitter.com/AngeCartwright/status/1723888663078351223,"#CarlSagan💙In 1985, Carl Sagan told Congress that continuing to burn fossil fuels would increase global temperatures, cause climate change, melt glaciers and ice sheets, and cause sea levels to rise.","In 1985, Carl Sagan told Congress that continuing to burn fossil fuels would increase global temperatures, cause climate change, melt glaciers and ice sheets, and cause sea levels to rise.",burn fossil fuels,increase,global temperatures,7_T2,If we continue to burn fossil fuels at the current rate there will be a huge  increase in global temperatures.,Burning fossil fuels may lead to increases in global temperatures.,"Continuing to burn fossil fuels could increase global temperatures, Carl Sagan says."," climate change, melt glaciers and ice sheets, and  sea levels is caused by burning of fossil fuels  ","Carl Sagan warned Congress in 1985 that burning fossil fuels would increase climate change, melt glaciers and ice sheets, and cause sea levels to rise.",Carl Sagan said in 1985 that burni g of fossil fuel will lead toan increase in global temperatures which may lead to the rise of sea levels.,"continuing to burn fossil fuels like coal will increase global temperatures, this leads to climate change, melting ice glaciers and ice sheets, and cause sea levels to rise.",,
https://twitter.com/BubblyFarm/status/1725059830376005706,"Why did our ancestors worship the sun? 

They knew of its power! 

It can change the earth, cause climate change, powerful storms, massive amounts of volcanic activity and, oh yeah, warm the earth! 

Not everything is man made, we are not that special! 

#climatechange 
","Why did our ancestors worship the sun? They knew of its power! It can change the earth, causing climate change, powerful storms, massive amounts of volcanic activity, and, oh yeah, warm the earth! Not everything is man-made; we are not that special!",sun,cause,"climate change, powerful storms, massive amounts of volcanic activity",8_T2,"The sun has the ability to cause climate change, powerful storms, massive amounts of volcanic activity","The sun and its affect on earth can cause climate change, powerful storms, and massive amounts of volcanic activity.","Our ancestors treated the sun as a some kind of god. They knew how powerful it is and that it can cause climate change, powerful storms, massive amounts of volcanic activity.","The sun is power, it can start climate change, powerful storms, massive amounts of volcanic activity.","the sun was worshipped because it has the power to cause climate change, powerful storms, massive amounts of volcanic activity.","From ancient times the sun was worshipped due to its ability to invoke change on the eath by causing climate change, powerful storms and massive amounts of volcanic activity while simultaneously warming the earth's surface.",,,
https://twitter.com/baluintensity/status/1298594055002062850,"Exercise can contribute to more sound and restful sleep
Stress is a common cause of sleep problems
Regular exercise reduces stress and anxiety, and generally improves sleep
Deep sleep helps to boost immune function, support cardiacs health, and control stress and anxiety","Exercise can contribute to more sound and restful sleep. Stress is a common cause of sleep problems. Regular exercise reduces stress and anxiety and generally improves sleep. Deep sleep helps boost immune function, support cardiac health, and control stress and anxiety.






",stress,cause of,sleep problems,9_T2,Regular exercise is a great way of reducing stress and sleeping problems. The cause of mental and physical problems for many young adults is due to a lack of sleep. ,One of the main factors that cause sleep problems is stress,"Stress is a major cause of sleep problems which can impact one's daily life due to a lack of focus, poor reaction times, and a shortened temper. One way of improving sleep could be exercise, which releases endorphins to help you feel relaxed, as well as tiring you out.",,,,,,
https://twitter.com/UbatOhUbat/status/1166319452612255744,"Exercise can keep weight, blood pressure, and cholesterol in check, staving off other health
conditions that can hinder sleep.
Also boosts energy levels during the day and can help give you more restful sleep.
Exercise can also RELIEVE STRESS, another major cause of insomnia.","Exercise can keep weight, blood pressure, and cholesterol in check, staving off other health conditions that can hinder sleep. It also boosts energy levels during the day and can help give you more restful sleep. Exercise can also relieve stress, another major cause of insomnia.",exercise,cause of,insomnia,10_T2,Exercise is very beneficial for your health and latest studies have revealed that it relieves from stress and clear your mind which is one of the cause of insomnia ,"Exercise has several benefits for both your mental health, in the form of endorphin release which makes you happy, and in the form of physical benefits such as cardiovascular health thanks to exercising your heart. A lack of exercise can be a cause of insomnia, as the body feels less relaxed and less tired at the same time, impacting one's ability to settle down and sleep.","Exercise helps in keeping weight, high blood and cholesterol in check, which prevents the cause of insomnia",Frequent exercise can hinder health conditions which prevent good sleep and may reduce stress which may be the cause of insomnia.,Exercise can help prevent insomnia by relieving stress.,,,,
